DateTimeID,DateDay,DateMonth,DateYear,DateAmPm
1,9,10,2016,AM
2,8,12,2012,AM
3,3,4,2015,PM
4,5,7,2015,AM
5,27,1,2013,AM
6,1,9,2012,PM
7,22,5,2016,PM
8,14,10,2015,AM
9,15,2,2015,AM
10,20,10,2011,AM
11,25,8,2015,AM
12,15,10,2012,PM
13,5,4,2014,AM
14,24,2,2018,PM
15,12,2,2019,PM
16,17,6,2012,PM
17,15,7,2011,PM
18,22,8,2012,AM
19,16,1,2013,PM
20,28,12,2017,AM
21,28,2,2014,AM
22,24,2,2017,PM
23,3,12,2014,AM
24,1,1,2010,AM
25,22,10,2019,PM
26,26,3,2015,AM
27,28,4,2009,AM
28,20,9,2014,AM
29,26,8,2011,PM
30,1,5,2015,PM
31,4,1,2014,AM
32,19,6,2016,AM
33,21,1,2009,AM
34,8,6,2010,PM
35,8,11,2018,PM
36,22,12,2013,AM
37,27,6,2015,AM
38,8,7,2016,PM
39,20,6,2015,AM
40,2,2,2011,AM
41,28,2,2012,PM
42,25,3,2012,AM
43,7,8,2019,PM
44,4,12,2016,AM
45,5,11,2010,AM
46,1,4,2019,PM
47,8,7,2010,AM
48,2,2,2015,AM
49,4,4,2015,PM
50,11,8,2013,PM
51,14,1,2009,PM
52,24,10,2015,PM
53,13,12,2014,AM
54,22,11,2012,AM
55,28,9,2009,PM
56,18,4,2015,AM
57,24,7,2015,AM
58,7,1,2019,PM
59,19,11,2014,AM
60,11,3,2012,PM
61,19,2,2012,AM
62,11,1,2009,PM
63,14,6,2013,PM
64,23,3,2019,AM
65,17,9,2013,PM
66,23,9,2013,AM
67,17,8,2015,AM
68,12,12,2018,PM
69,15,4,2017,AM
70,9,9,2017,PM
71,13,1,2010,PM
72,13,3,2013,AM
73,8,2,2011,AM
74,18,1,2018,PM
75,2,4,2019,PM
76,9,12,2013,PM
77,17,9,2016,PM
78,12,11,2013,AM
79,7,7,2009,AM
80,1,12,2018,AM
81,14,6,2016,AM
82,4,2,2019,PM
83,4,7,2009,AM
84,25,9,2016,AM
85,3,2,2012,AM
86,15,5,2014,PM
87,20,1,2016,PM
88,19,3,2014,AM
89,20,5,2019,PM
90,18,11,2010,PM
91,20,2,2012,PM
92,14,7,2013,AM
93,3,10,2019,AM
94,18,10,2013,AM
