CustomerID,DateTimeID,QuestionID,RepresentativeID,DepartmentID,MobilePlanID,LengthOfCall,LevelOfEscalation,CustomerSatisfactionLevel,QueryResolutionBalance
1,42,179,31,3,7,155.56,First,Satisfied,295.44
2,3,181,27,4,2,193.36,First,Not at all Satisfied,1060.69
2,28,125,23,6,2,62.75,Second,Partly Satisfied,1132.82
2,101,70,37,1,2,19.02,First,More than Satisfied,-307.24
2,143,166,16,2,6,131.79,First,Partly Satisfied,1248.65
2,159,175,5,5,2,26.49,First,Satisfied,-76.70
2,178,93,21,7,7,161.97,First,Not at all Satisfied,935.23
2,194,9,15,1,10,188.46,Second,Not at all Satisfied,563.33
2,269,139,25,3,10,158.92,Manager,Not at all Satisfied,-717.52
2,391,15,40,3,5,14.89,First,Very Satisfied,569.36
3,3,159,24,2,9,107.09,First,Partly Satisfied,-452.28
4,56,138,22,3,4,162.30,First,Not at all Satisfied,164.89
4,233,133,5,5,9,178.04,Manager,Very Satisfied,464.27
4,281,57,10,6,6,98.53,Second,Very Satisfied,356.58
4,326,88,26,3,5,151.76,First,Partly Satisfied,1343.88
4,360,1,33,6,1,79.04,Manager,Very Satisfied,1495.13
5,130,175,34,3,10,100.98,First,Partly Satisfied,714.94
5,147,3,3,2,6,48.54,First,Very Satisfied,-513.14
5,268,184,6,7,4,145.66,First,Very Satisfied,1213.30
6,9,154,4,3,8,206.45,First,Very Satisfied,440.84
6,114,87,5,4,4,38.82,First,Very Satisfied,764.64
6,261,109,33,1,5,61.45,First,Satisfied,347.59
6,347,60,12,3,5,197.24,First,Partly Satisfied,840.48
7,4,6,32,2,7,69.25,Second,Not at all Satisfied,-196.74
7,123,32,11,2,3,151.81,Manager,Very Satisfied,882.24
7,155,48,35,2,3,203.58,Manager,More than Satisfied,-545.17
7,240,39,28,5,4,5.59,First,Very Satisfied,927.91
7,275,70,32,1,1,123.48,Second,Satisfied,5.22
7,341,5,17,4,8,4.70,Second,Not at all Satisfied,-183.99
7,346,66,10,4,2,129.28,First,Satisfied,-397.45
7,350,47,16,1,3,131.35,Second,Partly Satisfied,-298.41
8,226,166,7,5,8,199.14,Manager,More than Satisfied,-315.95
8,321,116,32,1,3,139.39,Manager,Very Satisfied,279.25
9,317,116,31,3,4,201.94,Manager,Partly Satisfied,834.21
10,218,90,28,3,9,35.81,Second,Not at all Satisfied,302.72
10,247,24,23,4,10,84.65,First,Satisfied,406.63
10,296,46,25,2,7,87.27,Second,Partly Satisfied,1233.23
10,301,87,18,2,10,126.85,Second,Partly Satisfied,-320.61
10,332,159,6,2,6,151.73,Second,Very Satisfied,-76.05
11,50,145,21,7,4,142.35,First,More than Satisfied,63.36
11,137,6,24,6,8,111.70,Manager,Partly Satisfied,1008.32
11,247,120,28,4,10,168.17,First,More than Satisfied,-275.60
11,305,129,30,6,5,15.01,Manager,Partly Satisfied,899.07
12,80,25,24,5,1,67.79,First,More than Satisfied,1235.03
12,82,40,9,2,3,176.10,First,More than Satisfied,1626.70
12,111,64,26,1,7,191.79,First,More than Satisfied,-366.66
12,223,106,36,1,10,130.59,Second,Partly Satisfied,-329.10
12,243,143,10,3,5,82.26,First,Partly Satisfied,445.66
13,138,128,6,3,1,42.04,Second,Not at all Satisfied,-667.07
13,281,71,19,4,7,74.66,Second,Not at all Satisfied,-506.21
14,2,109,10,1,4,142.73,First,Not at all Satisfied,202.54
14,45,16,28,3,10,186.20,First,Not at all Satisfied,696.57
14,112,33,16,3,6,182.42,First,Not at all Satisfied,1428.34
14,113,116,26,1,5,153.38,Second,Not at all Satisfied,-235.14
14,125,139,19,6,10,132.54,Second,More than Satisfied,-560.75
14,164,28,17,7,10,112.72,Manager,Partly Satisfied,-492.79
14,358,160,24,3,3,127.92,First,More than Satisfied,749.81
14,380,116,33,1,4,13.51,Second,More than Satisfied,57.63
14,392,50,34,5,10,57.88,First,Partly Satisfied,1033.15
15,27,111,5,5,2,178.60,Second,Not at all Satisfied,-193.26
16,4,169,36,4,3,12.40,First,Very Satisfied,-78.52
16,12,136,20,6,9,115.55,First,More than Satisfied,1026.73
16,51,110,40,1,1,164.53,Second,More than Satisfied,277.32
16,169,185,25,4,9,78.54,Second,Partly Satisfied,453.18
