QuestionID,QuestionTopic,QuestionDescription,QuestionSeverity,QuestionUrgencyLevel
1,Connectivity issues,Excepteur sint occaecat cupidatat non proident,High,High
2,Connectivity issues,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,Low,High
3,Bill inquiries,Lorem ipsum dolor sit amet,High,High
4,Bill inquiries,sunt in culpa qui officia deserunt mollit anim id est laborum,Medium,Medium
5,Connectivity issues,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua,Medium,High
6,Bill inquiries,sunt in culpa qui officia deserunt mollit anim id est laborum,Medium,Low
7,Lost/stolen phone inquiries,consectetur adipiscing elit,Low,Low
8,Bill inquiries,Excepteur sint occaecat cupidatat non proident,Medium,High
9,Other,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua,High,Low
10,Bill inquiries,Excepteur sint occaecat cupidatat non proident,Low,Low
11,Lost/stolen phone inquiries,sunt in culpa qui officia deserunt mollit anim id est laborum,High,Medium
12,Connectivity issues,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,High,Medium
13,Bill inquiries,consectetur adipiscing elit,High,High
14,Connectivity issues,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua,Medium,High
15,Bill inquiries,sunt in culpa qui officia deserunt mollit anim id est laborum,High,Low
16,Bill inquiries,sunt in culpa qui officia deserunt mollit anim id est laborum,Low,Medium
17,Lost/stolen phone inquiries,Excepteur sint occaecat cupidatat non proident,Low,Low
18,Connectivity issues,consectetur adipiscing elit,High,Medium
19,Bill inquiries,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua,Medium,Low
20,Bill inquiries,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,High,Low
21,Lost/stolen phone inquiries,sunt in culpa qui officia deserunt mollit anim id est laborum,Medium,Low
22,Connectivity issues,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat,Medium,Low
23,Bill inquiries,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua,Low,High
24,Bill inquiries,Excepteur sint occaecat cupidatat non proident,Low,High
25,Legal problems,Ut enim ad minim veniam,Medium,Medium
26,Bill inquiries,Ut enim ad minim veniam,Low,Medium
27,Lost/stolen phone inquiries,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat,Low,Medium
28,Lost/stolen phone inquiries,Ut enim ad minim veniam,Low,Low
29,Bill inquiries,Excepteur sint occaecat cupidatat non proident,Medium,Low
30,Connectivity issues,Ut enim ad minim veniam,High,Low
31,Legal problems,sunt in culpa qui officia deserunt mollit anim id est laborum,Low,Medium
32,Bill inquiries,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat,High,High
33,Connectivity issues,Lorem ipsum dolor sit amet,Low,High
34,Lost/stolen phone inquiries,sunt in culpa qui officia deserunt mollit anim id est laborum,Medium,High
35,Legal problems,Ut enim ad minim veniam,Medium,Low
36,Other,sunt in culpa qui officia deserunt mollit anim id est laborum,Medium,Medium
37,Other,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua,Medium,Low
38,Connectivity issues,Ut enim ad minim veniam,Low,High
39,Bill inquiries,consectetur adipiscing elit,High,Low
40,Other,Lorem ipsum dolor sit amet,Medium,Medium
41,Connectivity issues,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua,High,Medium
42,Bill inquiries,consectetur adipiscing elit,Medium,Medium
43,Lost/stolen phone inquiries,consectetur adipiscing elit,Medium,High
44,Bill inquiries,Ut enim ad minim veniam,Low,Medium
45,Connectivity issues,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,Medium,Low
46,Connectivity issues,Excepteur sint occaecat cupidatat non proident,High,Medium
47,Bill inquiries,Excepteur sint occaecat cupidatat non proident,High,Low
48,Lost/stolen phone inquiries,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,Low,Low
49,Lost/stolen phone inquiries,consectetur adipiscing elit,Medium,High
50,Bill inquiries,consectetur adipiscing elit,High,Low
51,Connectivity issues,Excepteur sint occaecat cupidatat non proident,Low,High
52,Connectivity issues,Lorem ipsum dolor sit amet,Medium,High
53,Other,Excepteur sint occaecat cupidatat non proident,High,Medium
54,Connectivity issues,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,Low,Low
55,Connectivity issues,consectetur adipiscing elit,High,Medium
56,Lost/stolen phone inquiries,Excepteur sint occaecat cupidatat non proident,Medium,High
57,Connectivity issues,consectetur adipiscing elit,Medium,Medium
